n,labels
"(:Info:Invalid {roster2018: 0,kommun: Arvidsjaur,roster2022: 1,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 4240,kommun: Arvidsjaur,roster2022: 4054,parti: Valdeltagande})","[Info, Turnout]"
"(:EligibleToVote:Info {roster2018: 4963,kommun: Arvidsjaur,roster2022: 4772,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Moderaterna:Partiresultat {roster2018: 2566,kommun: Arvika,roster2022: 2804,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Centerpartiet:Partiresultat {roster2018: 1601,kommun: Arvika,roster2022: 991,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Liberalerna:Partiresultat {roster2018: 605,kommun: Arvika,roster2022: 484,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Kristdemokraterna:Partiresultat {roster2018: 961,kommun: Arvika,roster2022: 920,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 5765,kommun: Arvika,roster2022: 5796,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 1416,kommun: Arvika,roster2022: 901,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Miljöpartiet:Partiresultat {roster2018: 608,kommun: Arvika,roster2022: 693,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 3145,kommun: Arvika,roster2022: 3859,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Others:Partiresultat {roster2018: 294,kommun: Arvika,roster2022: 145,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 16961,kommun: Arvika,roster2022: 16593,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 3,kommun: Arvika,roster2022: 8,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 197,kommun: Arvika,roster2022: 209,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 6,kommun: Arvika,roster2022: 8,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 17167,kommun: Arvika,roster2022: 16818,parti: Valdeltagande})","[Info, Turnout]"
"(:EligibleToVote:Info {roster2018: 19979,kommun: Arvika,roster2022: 19885,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Moderaterna:Partiresultat {roster2018: 1286,kommun: Askersund,roster2022: 1223,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Centerpartiet:Partiresultat {roster2018: 718,kommun: Askersund,roster2022: 505,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Liberalerna:Partiresultat {roster2018: 238,kommun: Askersund,roster2022: 219,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Kristdemokraterna:Partiresultat {roster2018: 528,kommun: Askersund,roster2022: 438,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 2514,kommun: Askersund,roster2022: 2504,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 426,kommun: Askersund,roster2022: 262,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Miljöpartiet:Partiresultat {roster2018: 180,kommun: Askersund,roster2022: 231,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 1821,kommun: Askersund,roster2022: 2317,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Others:Partiresultat {roster2018: 107,kommun: Askersund,roster2022: 118,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 7818,kommun: Askersund,roster2022: 7817,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 1,kommun: Askersund,roster2022: 1,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 74,kommun: Askersund,roster2022: 93,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 2,kommun: Askersund,roster2022: 3,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 7895,kommun: Askersund,roster2022: 7914,parti: Valdeltagande})","[Info, Turnout]"
"(:EligibleToVote:Info {roster2018: 8916,kommun: Askersund,roster2022: 9144,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Moderaterna:Partiresultat {roster2018: 2298,kommun: Avesta,roster2022: 2196,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Centerpartiet:Partiresultat {roster2018: 983,kommun: Avesta,roster2022: 697,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Liberalerna:Partiresultat {roster2018: 425,kommun: Avesta,roster2022: 371,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Kristdemokraterna:Partiresultat {roster2018: 732,kommun: Avesta,roster2022: 774,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 5072,kommun: Avesta,roster2022: 5122,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 950,kommun: Avesta,roster2022: 657,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Miljöpartiet:Partiresultat {roster2018: 323,kommun: Avesta,roster2022: 316,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
